prompt,parent_class,vehicle.truck,vehicle.car,vehicle.construction,vehicle.bicycle,vehicle.emergency.ambulance,human.pedestrian.adult,movable_object.trafficcone,movable_object.barrier,vehicle.motorcycle,human.pedestrian.personal_mobility,vehicle.bus.rigid,human.pedestrian.construction_worker,vehicle.trailer,human.pedestrian.police_officer,movable_object.pushable_pullable,human.pedestrian.stroller,vehicle.bus.bendy,animal,human.pedestrian.child,static_object.bicycle_rack,movable_object.debris,vehicle.emergency.police,human.pedestrian.wheelchair,vehicle.ego
construction vehicle,construction_vehicle,0.0063,0.0009,0.0120,0.0001,0.0006,0.0000,0.0001,0.0000,0.0013,0.0012,0.0027,0.0001,0.0047,0.0001,0.0014,0.0004,0.0023,0.0000,0.0000,0.0001,0.0001,0.0006,0.0000,0.0000
bulldozer,construction_vehicle,0.0015,0.0003,0.0058,0.0000,0.0001,0.0000,0.0000,0.0000,0.0007,0.0008,0.0005,0.0001,0.0013,0.0000,0.0011,0.0002,0.0006,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000
excavator,construction_vehicle,0.0021,0.0003,0.0101,0.0003,0.0001,0.0002,0.0000,0.0001,0.0016,0.0018,0.0009,0.0004,0.0026,0.0006,0.0024,0.0006,0.0009,0.0001,0.0001,0.0003,0.0002,0.0002,0.0000,0.0000
trailer,trailer,0.0089,0.0008,0.0041,0.0001,0.0017,0.0000,0.0000,0.0022,0.0002,0.0002,0.0044,0.0000,0.0099,0.0000,0.0027,0.0010,0.0036,0.0000,0.0000,0.0002,0.0003,0.0006,0.0000,0.0000
semi trailer,trailer,0.0100,0.0006,0.0061,0.0000,0.0015,0.0000,0.0000,0.0006,0.0001,0.0001,0.0078,0.0000,0.0113,0.0000,0.0005,0.0000,0.0051,0.0000,0.0000,0.0001,0.0001,0.0009,0.0000,0.0000
cargo trailer,trailer,0.0068,0.0005,0.0037,0.0000,0.0010,0.0000,0.0000,0.0018,0.0001,0.0001,0.0022,0.0000,0.0088,0.0000,0.0030,0.0003,0.0019,0.0000,0.0000,0.0001,0.0003,0.0004,0.0000,0.0000
adult pedestrian,adult_pedestrian,0.0000,0.0000,0.0001,0.0014,0.0000,0.0251,0.0001,0.0000,0.0014,0.0057,0.0000,0.0129,0.0000,0.0236,0.0002,0.0010,0.0000,0.0007,0.0161,0.0000,0.0003,0.0001,0.0014,0.0000
walking person,adult_pedestrian,0.0000,0.0000,0.0001,0.0023,0.0000,0.0288,0.0001,0.0000,0.0025,0.0078,0.0000,0.0204,0.0000,0.0370,0.0001,0.0015,0.0000,0.0010,0.0196,0.0000,0.0002,0.0002,0.0044,0.0000
adult,adult_pedestrian,0.0001,0.0000,0.0001,0.0003,0.0000,0.0032,0.0000,0.0000,0.0004,0.0008,0.0000,0.0022,0.0000,0.0027,0.0001,0.0004,0.0000,0.0006,0.0032,0.0000,0.0001,0.0000,0.0002,0.0000
child,child_pedestrian,0.0000,0.0000,0.0000,0.0005,0.0000,0.0024,0.0001,0.0000,0.0006,0.0011,0.0000,0.0020,0.0000,0.0020,0.0001,0.0038,0.0000,0.0034,0.0169,0.0000,0.0001,0.0000,0.0098,0.0000
kid walking,child_pedestrian,0.0000,0.0000,0.0000,0.0016,0.0000,0.0060,0.0003,0.0000,0.0017,0.0022,0.0000,0.0041,0.0000,0.0060,0.0003,0.0063,0.0000,0.0051,0.0165,0.0001,0.0002,0.0001,0.0081,0.0000
young pedestrian,child_pedestrian,0.0000,0.0001,0.0001,0.0017,0.0000,0.0231,0.0004,0.0000,0.0017,0.0048,0.0000,0.0106,0.0000,0.0206,0.0002,0.0019,0.0000,0.0013,0.0288,0.0001,0.0004,0.0001,0.0092,0.0000
wheelchair user,wheelchair_user,0.0000,0.0000,0.0002,0.0033,0.0000,0.0035,0.0001,0.0000,0.0077,0.0024,0.0000,0.0029,0.0000,0.0052,0.0006,0.0177,0.0000,0.0033,0.0038,0.0005,0.0002,0.0004,0.0206,0.0000
person in wheelchair,wheelchair_user,0.0001,0.0001,0.0002,0.0039,0.0000,0.0043,0.0000,0.0000,0.0089,0.0026,0.0000,0.0037,0.0000,0.0048,0.0007,0.0191,0.0000,0.0039,0.0042,0.0008,0.0002,0.0004,0.0234,0.0000
wheelchair,wheelchair_user,0.0000,0.0000,0.0001,0.0018,0.0000,0.0001,0.0000,0.0000,0.0024,0.0006,0.0000,0.0001,0.0000,0.0001,0.0004,0.0228,0.0000,0.0041,0.0001,0.0007,0.0000,0.0000,0.0020,0.0000
baby stroller,stroller,0.0001,0.0001,0.0002,0.0043,0.0000,0.0003,0.0000,0.0000,0.0057,0.0032,0.0000,0.0004,0.0001,0.0002,0.0027,0.0566,0.0000,0.0176,0.0008,0.0013,0.0003,0.0001,0.0007,0.0000
pushchair,stroller,0.0001,0.0001,0.0002,0.0080,0.0000,0.0007,0.0001,0.0000,0.0092,0.0052,0.0000,0.0008,0.0001,0.0003,0.0036,0.0725,0.0000,0.0223,0.0017,0.0016,0.0003,0.0004,0.0036,0.0000
pram,stroller,0.0001,0.0001,0.0003,0.0016,0.0000,0.0004,0.0000,0.0000,0.0056,0.0018,0.0000,0.0005,0.0001,0.0002,0.0024,0.0439,0.0000,0.0135,0.0010,0.0006,0.0002,0.0002,0.0011,0.0000
electric scooter,personal_mobility,0.0001,0.0002,0.0006,0.0062,0.0000,0.0003,0.0002,0.0000,0.0227,0.0057,0.0000,0.0004,0.0002,0.0009,0.0019,0.0303,0.0000,0.0071,0.0006,0.0014,0.0003,0.0005,0.0016,0.0000
personal mobility device,personal_mobility,0.0004,0.0006,0.0007,0.0052,0.0002,0.0004,0.0001,0.0000,0.0063,0.0059,0.0001,0.0003,0.0003,0.0005,0.0035,0.0321,0.0001,0.0116,0.0005,0.0011,0.0007,0.0007,0.0021,0.0000
hoverboard,personal_mobility,0.0000,0.0000,0.0000,0.0003,0.0000,0.0000,0.0000,0.0000,0.0005,0.0007,0.0000,0.0000,0.0000,0.0000,0.0001,0.0014,0.0000,0.0005,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000
police officer,police_officer,0.0001,0.0001,0.0002,0.0010,0.0001,0.0043,0.0001,0.0000,0.0047,0.0018,0.0001,0.0069,0.0000,0.0164,0.0001,0.0004,0.0000,0.0001,0.0022,0.0001,0.0001,0.0003,0.0035,0.0000
uniformed officer,police_officer,0.0000,0.0000,0.0001,0.0006,0.0000,0.0040,0.0000,0.0000,0.0027,0.0014,0.0000,0.0071,0.0000,0.0155,0.0001,0.0002,0.0000,0.0000,0.0018,0.0000,0.0000,0.0001,0.0029,0.0000
law enforcement officer,police_officer,0.0001,0.0001,0.0002,0.0007,0.0000,0.0042,0.0000,0.0000,0.0041,0.0014,0.0000,0.0078,0.0000,0.0169,0.0001,0.0003,0.0000,0.0000,0.0019,0.0000,0.0000,0.0002,0.0028,0.0000
construction worker,construction_worker,0.0001,0.0000,0.0003,0.0007,0.0000,0.0072,0.0002,0.0000,0.0018,0.0025,0.0000,0.0226,0.0001,0.0267,0.0003,0.0004,0.0000,0.0001,0.0028,0.0001,0.0001,0.0001,0.0031,0.0000
hard hat worker,construction_worker,0.0002,0.0000,0.0007,0.0007,0.0000,0.0042,0.0001,0.0000,0.0023,0.0022,0.0000,0.0173,0.0003,0.0180,0.0004,0.0006,0.0000,0.0001,0.0016,0.0001,0.0002,0.0001,0.0038,0.0000
site worker,construction_worker,0.0001,0.0000,0.0003,0.0010,0.0000,0.0095,0.0003,0.0001,0.0022,0.0030,0.0000,0.0229,0.0001,0.0253,0.0004,0.0007,0.0000,0.0002,0.0048,0.0001,0.0003,0.0001,0.0038,0.0000
road barrier,barrier,0.0002,0.0001,0.0003,0.0003,0.0001,0.0000,0.0010,0.0027,0.0001,0.0002,0.0001,0.0000,0.0006,0.0000,0.0017,0.0001,0.0003,0.0001,0.0000,0.0017,0.0021,0.0000,0.0000,0.0000
concrete barrier,barrier,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0004,0.0042,0.0000,0.0000,0.0000,0.0000,0.0004,0.0000,0.0009,0.0000,0.0001,0.0001,0.0000,0.0008,0.0009,0.0000,0.0000,0.0000
traffic barrier,barrier,0.0002,0.0001,0.0003,0.0004,0.0002,0.0001,0.0022,0.0022,0.0002,0.0003,0.0001,0.0001,0.0006,0.0001,0.0020,0.0002,0.0002,0.0002,0.0001,0.0013,0.0026,0.0000,0.0000,0.0000
traffic cone,traffic_cone,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0256,0.0001,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0007,0.0000,0.0000,0.0000
orange cone,traffic_cone,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0149,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0004,0.0000,0.0000,0.0000
road cone,traffic_cone,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0157,0.0001,0.0001,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0004,0.0000,0.0000,0.0000
pushable object,pushable_object,0.0003,0.0001,0.0016,0.0011,0.0001,0.0001,0.0029,0.0009,0.0006,0.0022,0.0001,0.0002,0.0007,0.0002,0.0042,0.0037,0.0001,0.0027,0.0002,0.0003,0.0042,0.0001,0.0000,0.0000
wheeled cart,pushable_object,0.0017,0.0003,0.0029,0.0028,0.0002,0.0002,0.0001,0.0004,0.0035,0.0052,0.0003,0.0002,0.0015,0.0002,0.0096,0.0235,0.0005,0.0040,0.0002,0.0013,0.0019,0.0002,0.0002,0.0000
trolley,pushable_object,0.0012,0.0001,0.0013,0.0013,0.0003,0.0002,0.0000,0.0002,0.0015,0.0040,0.0010,0.0003,0.0008,0.0002,0.0083,0.0302,0.0012,0.0083,0.0004,0.0005,0.0019,0.0000,0.0007,0.0000
road debris,debris,0.0000,0.0000,0.0001,0.0001,0.0000,0.0000,0.0002,0.0001,0.0001,0.0001,0.0000,0.0000,0.0001,0.0001,0.0004,0.0001,0.0000,0.0003,0.0000,0.0003,0.0003,0.0000,0.0000,0.0000
fallen object,debris,0.0001,0.0000,0.0004,0.0003,0.0000,0.0000,0.0003,0.0004,0.0001,0.0004,0.0000,0.0001,0.0001,0.0000,0.0020,0.0010,0.0000,0.0135,0.0000,0.0001,0.0009,0.0000,0.0000,0.0000
rubble on road,debris,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0000,0.0001,0.0002,0.0000,0.0000,0.0000
bicycle rack,bicycle_rack,0.0001,0.0001,0.0004,0.0079,0.0000,0.0001,0.0001,0.0005,0.0008,0.0027,0.0000,0.0001,0.0002,0.0001,0.0039,0.0030,0.0001,0.0026,0.0001,0.0063,0.0040,0.0000,0.0001,0.0000
bike stand,bicycle_rack,0.0000,0.0000,0.0001,0.0073,0.0000,0.0002,0.0005,0.0001,0.0007,0.0060,0.0000,0.0003,0.0001,0.0006,0.0021,0.0030,0.0000,0.0044,0.0004,0.0013,0.0034,0.0000,0.0001,0.0000
cycle parking rack,bicycle_rack,0.0001,0.0001,0.0004,0.0088,0.0000,0.0001,0.0001,0.0004,0.0012,0.0029,0.0000,0.0002,0.0002,0.0001,0.0035,0.0040,0.0001,0.0029,0.0001,0.0077,0.0033,0.0000,0.0001,0.0000
animal,animal,0.0000,0.0000,0.0000,0.0001,0.0000,0.0001,0.0000,0.0000,0.0001,0.0001,0.0000,0.0001,0.0000,0.0000,0.0000,0.0003,0.0000,0.0135,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000
dog,animal,0.0000,0.0000,0.0000,0.0001,0.0000,0.0002,0.0000,0.0000,0.0001,0.0003,0.0000,0.0002,0.0000,0.0000,0.0002,0.0010,0.0000,0.0346,0.0007,0.0000,0.0000,0.0000,0.0000,0.0000
cat,animal,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0001,0.0000,0.0000,0.0000,0.0000,0.0000,0.0051,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000
